"Title","Résumé","Trimestre cible","Confiance","Valeur","Effort","Impact","Portée","Objectifs","Risques identifiés","Score RICE","Success KPI","Type","Okr","Priorité","Type","Avancement de la livraison"
"Authentification et gestion des comptes clients","Permettre aux clients de créer un compte, se connecter et gérer leur profil","T1 2026","85","5","2","5","5","Inscription, connexion, profil, historique commandes, adresses","Sécurité des mots de passe faible.  Absence de SSO/OAuth2.  Pas de récupération de mot de passe sécurisée.","10.6","Taux de conversion inscription (%)  Taux d'abandon formulaire (%)  Nombre d'utilisateurs actifs","Feature","O : Offrir une expérience client personnalisée  KR1 : 90 % des visiteurs créent un compte  KR2 : Temps d'inscription < 1 min  KR3 : Taux d'abandon < 20 %","Importante","Fonctionnelle",""
"Consultation des menus et catalogue produits","Afficher les menus des restaurants avec photos, descriptions, prix et disponibilité","T1 2026","90","5","3","5","5","Recherche plats, filtres (allergènes, prix), catégories, promotions","Données produits non à jour (sync 1x/jour).  Photos de mauvaise qualité.  Pas de moteur de recherche performant.","7.5","Nombre de consultations menus/jour  Taux de clic sur produits  Temps moyen de navigation","Feature","O : Maximiser l'engagement client sur le catalogue  KR1 : Temps de chargement menus < 1 s  KR2 : 100 % des produits avec photos  KR3 : Moteur de recherche avec 95 % de précision","Importante","Fonctionnelle",""
"Gestion du panier et validation commande","Permettre l'ajout de produits au panier, modification quantités et validation de la commande","T1 2026","88","5","3","5","5","Ajout/retrait articles, choix restaurant, heure livraison, validation","Panier perdu à la déconnexion.  Pas de sauvegarde entre sessions.  Erreurs de calcul de prix avec promotions.","7.3","Taux d'abandon panier (%)  Panier moyen (€)  Taux de conversion panier → commande","Feature","O : Optimiser le tunnel de conversion  KR1 : Taux d'abandon < 30 %  KR2 : Panier moyen > 25 €  KR3 : Taux de conversion > 70 %","Critique","Fonctionnelle",""
"Paiement en ligne sécurisé","Traiter les paiements CB en ligne de manière sécurisée via la banque BNB","T1 2026","75","5","4","5","5","Paiement CB, validation 3D Secure, confirmation transaction","Pas de conformité PCI-DSS.  Temps de traitement long (> 5 s).  Taux d'échec élevé.  Absence de moyens de paiement alternatifs.","4.7","Taux de succès paiement (%)  Temps moyen de paiement (s)  Taux d'abandon au paiement (%)","Feature","O : Garantir un paiement rapide et sécurisé  KR1 : 98 % de réussite paiement  KR2 : Temps de paiement < 3 s  KR3 : Taux d'abandon < 15 %","Critique","Fonctionnelle",""
"Suivi de commande en temps réel","Permettre au client de suivre l'état de sa commande de la préparation à la livraison","T2 2026","65","4","4","4","4","Statuts commande, notifications email, estimation temps livraison","Mise à jour manuelle des statuts.  Pas de suivi GPS livreur.  Informations non actualisées en temps réel.","2.6","Nombre de demandes SAV/commande  Taux de satisfaction suivi (%)  Temps moyen avant livraison","Feature","O : Améliorer la transparence et la satisfaction client  KR1 : 100 % des commandes avec suivi  KR2 : Mise à jour statut < 2 min  KR3 : Taux de satisfaction > 85 %","Importante","Fonctionnelle",""
"Organisation et gestion des livraisons","Gérer l'attribution des livraisons aux livreurs et optimiser les tournées","T2 2026","60","4","5","4","3","Attribution livreur, calcul d'itinéraire, gestion planning","Pas d'optimisation automatique des tournées.  Attribution manuelle des livreurs.  Pas de gestion de disponibilité en temps réel.","1.9","Temps moyen de livraison  Nombre de livraisons/livreur/jour  Coût moyen de livraison (€)","Feature","O : Optimiser la logistique de livraison  KR1 : Temps livraison < 30 min  KR2 : 5+ livraisons/livreur/jour  KR3 : -15 % coût livraison","Moyenne","Fonctionnelle",""
"Gestion des réclamations clients","Permettre aux clients de soumettre des réclamations et assurer leur suivi","T3 2026","70","3","3","3","3","Formulaire réclamation, suivi ticket, traitement SAV","Traitement lent (> 48h).  Pas de système de ticketing.  Communication manuelle par email.","2.1","Temps moyen de traitement réclamation  Taux de satisfaction résolution (%)  Nombre de réclamations/100 commandes","Feature","O : Améliorer la gestion du SAV client  KR1 : Temps de réponse < 24h  KR2 : Taux de résolution > 90 %  KR3 : < 5 réclamations/100 commandes","Moyenne","Fonctionnelle",""
"Interface de gestion pour franchisés","Interface dédiée aux franchisés pour gérer leur restaurant, menus et commandes","T2 2026","68","4","4","4","4","Gestion menus/tarifs, suivi commandes, stats ventes, gestion promotions","Interface obsolète et peu ergonomique.  Manque de fonctionnalités de reporting.  Pas d'accès mobile.","2.7","Taux d'utilisation franchisés (%)  Nombre de mises à jour menu/semaine  Satisfaction franchisés (score)","Feature","O : Autonomiser les franchisés dans la gestion  KR1 : 100 % des franchisés utilisent l'interface  KR2 : 3+ mises à jour menu/semaine  KR3 : Score satisfaction > 4/5","Importante","Fonctionnelle",""
"Gestion des stocks restaurant","Permettre aux franchisés de gérer leurs stocks de produits et passer des commandes fournisseurs","T3 2026","55","3","4","3","2","Suivi stocks, alertes rupture, commande fournisseurs, historique","Pas de synchronisation temps réel avec ERP.  Alertes non automatisées.  Gestion manuelle des commandes fournisseurs.","1.5","Taux de rupture stock (%)  Nombre de commandes fournisseurs/mois  Coût moyen stock immobilisé (€)","Feature","O : Optimiser la gestion des stocks  KR1 : Taux de rupture < 5 %  KR2 : Rotation stock > 15 jours  KR3 : -20 % coût stock immobilisé","Moyenne","Fonctionnelle",""
"Synchronisation avec ERP Dynamics 365","Synchroniser les données entre l'application web et l'ERP (commandes, clients, finances)","T1 2026","45","5","5","5","3","Export/import données, synchronisation commandes, clients, stocks","Sync 1x/jour à 5h du matin seulement.  Erreurs de synchronisation fréquentes.  Données non cohérentes entre systèmes.","1.5","Fréquence de synchronisation  Taux d'erreur sync (%)  Temps de latence données (h)","Feature","O : Assurer la cohérence des données métier  KR1 : Sync temps réel (< 5 min)  KR2 : Taux d'erreur < 1 %  KR3 : Données cohérentes 100 %","Critique","Fonctionnelle",""
"Gestion des promotions et codes promo","Permettre la création et l'application de codes promotionnels sur les commandes","T3 2026","80","3","3","3","4","Création codes, règles réduction, validation panier, reporting","Codes mal appliqués.  Pas de limite d'utilisation.  Calculs de réduction erronés.","3.2","Nombre de codes actifs  Taux d'utilisation codes (%)  CA généré via promotions (€)","Feature","O : Stimuler les ventes via les promotions  KR1 : 30 % commandes avec code promo  KR2 : +20 % CA via promotions  KR3 : 0 erreur de calcul","Moyenne","Fonctionnelle",""
"Reporting et statistiques pour direction","Fournir des tableaux de bord et rapports pour le pilotage de l'activité","T4 2026","50","4","5","4","2","Dashboard ventes, stats restaurants, rapports financiers, KPI métier","Rapports manuels (extraction Excel).  Données datées (J-1).  Pas de visualisation temps réel.","0.8","Nombre de rapports générés/mois  Temps de génération rapport (h)  Taux d'utilisation dashboard (%)","Feature","O : Faciliter le pilotage par la data  KR1 : 100 % rapports automatisés  KR2 : Données temps réel  KR3 : Dashboard utilisé quotidiennement","Faible","Fonctionnelle",""
"Application mobile native","Offrir une application mobile iOS/Android pour commander depuis smartphone","T1 2026","35","5","5","5","5","Toutes fonctionnalités web adaptées mobile, notifications push, géolocalisation","Application inexistante actuellement.  80 % du trafic est mobile web.  Pas de notifications push.","1.3","Taux de téléchargement  Taux d'utilisation app vs web (%)  Taux de conversion mobile","Feature","O : Capter le marché mobile natif  KR1 : 50 % des commandes via app mobile  KR2 : 100K téléchargements An 1  KR3 : Rating stores > 4.5/5","Critique","Fonctionnelle",""

